ra dec shotid ifuslot amp wl fibnum detectid cat cat2 gmag flux fwhm
217.19435119628906 51.41497802734375 20180513010 72 RL 4554.7998046875 94 1000322599 N/A good 25.56882204310685 9.430000305175781 2.4000000953674316
217.18515014648438 51.259681701660156 20180513010 24 LU 4543.47021484375 83 1000322622 N/A good 25.736881785413136 10.4399995803833 2.640000104904175
228.8927764892578 51.0689811706543 20180513012 34 LL 4314.10986328125 7 1000323065 N/A good 24.947095132356644 12.350000381469727 3.0
228.92233276367188 51.1826286315918 20180513012 73 RL 4271.56982421875 101 1000323079 N/A good 25.637538233609696 17.280000686645508 5.880000114440918
228.890869140625 51.160438537597656 20180513012 63 RL 5109.93994140625 87 1000323084 N/A good 23.73879413658717 8.029999732971191 3.1700000762939453
228.94493103027344 51.08769226074219 20180513012 45 RL 4398.89013671875 34 1000323186 N/A good 24.193552642950653 10.460000038146973 3.2799999713897705
228.9647216796875 51.047142028808594 20180513012 36 LL 4934.5498046875 78 1000323205 N/A good 23.78999830473412 14.779999732971191 3.2699999809265137
229.02987670898438 51.14775848388672 20180513012 76 LU 3684.31005859375 41 1000323238 N/A good 25.592475262171504 27.3700008392334 3.5399999618530273
191.11282348632812 51.31084442138672 20180514011 32 LU 4815.16015625 16 1000328683 N/A good 28.038814331274793 11.390000343322754 3.890000104904175
191.28260803222656 51.246402740478516 20180514011 26 RU 5142.759765625 56 1000328697 N/A good 26.55083606965926 10.359999656677246 3.309999942779541
191.3297576904297 51.473968505859375 20180514011 104 RU 5011.68017578125 87 1000328751 N/A good 24.138168172693288 24.09000015258789 4.510000228881836
191.39810180664062 51.41548538208008 20180514011 96 LU 4450.759765625 72 1000328949 N/A good 23.780007488327012 14.680000305175781 2.640000104904175
197.53704833984375 51.34203338623047 20180514012 42 RL 4716.16015625 28 1000329003 N/A good 24.76212095671066 10.84000015258789 3.4100000858306885
203.8070526123047 51.19288635253906 20180514013 85 RL 4033.070068359375 6 1000329266 N/A good 24.21232511666368 25.229999542236328 4.239999771118164
203.80775451660156 51.24992370605469 20180514013 104 RL 4708.3701171875 93 1000329399 N/A good 24.256052805861366 19.709999084472656 3.6700000762939453
203.60081481933594 51.09382629394531 20180514013 32 RL 4078.929931640625 88 1000329499 N/A good 24.311980291977964 22.079999923706055 3.630000114440918
209.69671630859375 51.152259826660156 20180514014 63 LU 4936.5498046875 67 1000329549 N/A good 25.586724575713337 22.739999771118164 5.650000095367432
209.84889221191406 51.237403869628906 20180514014 105 LL 4555.06982421875 42 1000329554 N/A good 23.366602472010833 54.400001525878906 4.429999828338623
209.58604431152344 51.068031311035156 20180514014 22 RL 3613.8798828125 72 1000329568 N/A good 23.200651744883515 95.22000122070312 3.5999999046325684
218.8776092529297 51.44527053833008 20180515005 24 LU 4211.72021484375 54 1000329900 N/A good 24.138800530893413 21.709999084472656 4.440000057220459
218.87770080566406 51.445159912109375 20180515005 24 LU 4211.75 54 1000330017 N/A good 23.979631209656056 22.3799991607666 4.630000114440918
184.49671936035156 51.29304504394531 20180515009 46 LU 5115.669921875 19 1000330747 N/A good 24.24326555327621 8.270000457763672 3.200000047683716
184.38775634765625 51.41741180419922 20180515009 72 RL 4155.2099609375 68 1000330761 N/A good 24.822403174828334 19.040000915527344 2.5299999713897705
